"","MSSubClass","LotFrontage","LotArea","OverallQual","OverallCond","YearBuilt","YearRemodAdd","MasVnrArea","BsmtFinSF1","BsmtFinSF2","BsmtUnfSF","TotalBsmtSF","X1stFlrSF","X2ndFlrSF","LowQualFinSF","GrLivArea","BsmtFullBath","BsmtHalfBath","FullBath","HalfBath","BedroomAbvGr","KitchenAbvGr","TotRmsAbvGrd","Fireplaces","GarageYrBlt","GarageCars","GarageArea","WoodDeckSF","OpenPorchSF","EnclosedPorch","X3SsnPorch","ScreenPorch","PoolArea","MiscVal","MoSold","YrSold","ExterQual","ExterCond","GarageQual","GarageCond","FireplaceQu","KitchenQual","HeatingQC","BsmtQual","BsmtExposure","BsmtFinType1","BsmtFinType2","Functional","GarageFinish","Fence","NewerDwelling","RegularLotShape","LandLeveled","LandSlopeGentle","ElectricalSB","GarageDetchd","HasPavedDrive","HasWoodDeck","Has2ndFlr","HasMasVnr","HasShed","Remodeled","RecentRemodel","NewHouse","HasX2ndFlrSF","HasMasVnrArea","HasWoodDeckSF","HasOpenPorchSF","HasEnclosedPorch","HasX3SsnPorch","HasScreenPorch","HighSeason","NbrhRich","NeighborhoodBin","PartialPlan","TotalArea","AreaInside","Age","TimeSinceSold","YearSinceRemodel","SalePrice"
"11",20,70,11200,5,5,4,4,0,906,0,134,1040,1040,0,0,1040,1,0,1,0,3,1,5,0,4,1,384,0,0,0,0,0,0,0,2,6,3,3,3,3,0,3,4,3,1,3,1,7,1,3,9,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,15814,1040,45,2,43,129500
"12",60,85,11924,9,5,6,6,286,998,0,177,1175,1182,1142,0,2324,1,0,3,0,4,1,11,2,6,3,736,147,21,0,0,0,0,0,7,6,5,3,3,3,4,5,4,5,1,6,1,7,2,3,14,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,0,4,1,20197,2324,5,4,0,345000
"13",20,72,12968,5,6,4,4,0,737,0,175,912,912,0,0,912,1,0,1,0,2,1,4,0,4,1,352,140,0,0,0,176,0,0,9,6,3,3,3,3,0,3,2,3,1,5,1,7,1,3,9,0,1,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,0,1,0,17356,912,48,2,46,144000
"14",20,91,10652,7,5,6,6,306,0,0,1494,1494,1494,0,0,1494,0,0,2,0,3,1,7,1,6,3,840,160,33,0,0,0,0,0,8,6,4,3,3,3,4,4,4,4,3,1,1,7,1,3,9,0,1,1,1,0,1,1,0,1,0,1,1,0,1,0,0,0,1,1,1,0,0,2,1,18058,1494,4,3,0,279500
"15",20,73,10920,6,5,4,4,212,733,0,520,1253,1253,0,0,1253,1,0,1,1,2,1,5,1,4,1,352,0,213,176,0,0,0,0,5,6,3,3,3,3,2,3,2,3,1,4,1,7,1,0,9,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,1,1,1,0,2,0,16958,1253,50,2,48,157000
"16",45,51,6120,7,8,2,6,0,0,0,832,832,854,0,0,854,0,0,1,0,2,1,5,0,5,2,576,48,112,0,0,0,0,0,7,6,3,3,3,3,0,3,4,3,1,1,1,7,1,4,6,1,1,1,0,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,10279,854,81,3,6,132000
"17",20,73,11241,6,7,4,4,180,578,0,426,1004,1004,0,0,1004,1,0,1,0,2,1,5,1,4,2,480,0,0,0,0,0,0,700,3,6,3,3,3,3,3,3,4,3,1,5,1,7,2,3,9,0,1,1,1,0,1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,0,0,2,0,15990,1004,40,0,40,149000
"18",90,72,10791,4,5,4,4,0,0,0,0,0,1296,0,0,1296,0,0,2,0,2,2,6,0,4,2,516,0,0,0,0,0,0,500,10,6,3,3,3,3,0,3,2,0,0,1,1,7,1,3,2,1,1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,1,1,1,1,0,0,1,0,13971,1296,43,4,39,90000
"19",20,66,13695,5,5,6,6,0,646,0,468,1114,1114,0,0,1114,1,0,1,1,3,1,6,0,6,2,576,0,102,0,0,0,0,0,6,6,3,3,3,3,0,4,4,3,1,6,1,7,1,3,9,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,2,0,18895,1114,6,2,4,159000
"20",20,70,7560,5,6,4,4,0,504,0,525,1029,1339,0,0,1339,0,0,1,0,3,1,6,0,4,1,294,0,0,0,0,0,0,0,5,6,3,3,3,3,0,3,2,3,1,2,1,3,1,2,9,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,2,0,12660,1339,52,1,44,139000
"21",60,101,14215,8,5,6,6,380,0,0,1158,1158,1158,1218,0,2376,0,0,3,1,4,1,9,1,6,3,853,240,154,0,0,0,0,0,11,6,4,3,3,3,4,4,4,5,3,1,1,7,1,3,14,0,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,0,1,1,1,0,0,4,1,23011,2376,5,4,0,325300
"22",45,57,7449,7,7,2,3,0,0,0,637,637,1108,0,0,1108,0,0,1,0,3,1,6,1,2,1,280,0,0,205,0,0,0,0,6,6,3,3,3,3,4,4,4,3,1,1,1,7,1,4,6,1,0,1,0,0,0,0,0,0,0,1,0,0,1,1,1,1,0,1,1,1,0,1,0,11481,1108,80,3,57,139400
"23",20,75,9742,8,5,6,6,281,0,0,1777,1777,1795,0,0,1795,0,0,2,0,3,1,7,1,6,2,534,171,159,0,0,0,0,0,9,6,4,3,3,3,4,4,4,4,1,1,1,7,1,3,9,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,2,0,18106,1795,8,2,6,230000
"24",120,44,4224,5,7,5,5,0,840,0,200,1040,1060,0,0,1060,1,0,1,0,3,1,6,1,5,2,572,100,110,0,0,0,0,0,6,6,3,3,3,3,3,3,2,4,1,6,1,7,1,3,13,1,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,0,1,1,1,1,0,0,0,9250,1060,34,3,31,129900
"25",20,72,8246,5,8,4,6,0,188,668,204,1060,1060,0,0,1060,1,0,1,0,3,1,6,1,4,1,270,406,90,0,0,0,0,0,5,6,3,4,3,3,3,4,4,3,2,3,5,7,1,2,9,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,1,0,13324,1060,42,0,9,154000
"26",20,110,14230,8,5,6,6,640,0,0,1566,1566,1600,0,0,1600,0,0,2,0,3,1,7,1,6,3,890,0,56,0,0,0,0,0,7,6,4,3,3,3,4,4,4,4,1,1,1,7,1,3,9,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,1,0,4,0,22258,1600,3,1,2,256300
"27",20,60,7200,5,7,3,6,0,234,486,180,900,900,0,0,900,0,1,1,0,3,1,5,0,6,2,576,222,32,0,0,0,0,0,5,6,3,3,3,3,0,4,2,3,2,4,3,7,1,3,9,1,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,2,0,11690,900,59,0,10,134800
"28",20,98,11478,8,5,6,6,200,1218,0,486,1704,1704,0,0,1704,1,0,2,0,3,1,7,1,6,3,772,0,50,0,0,0,0,0,5,6,4,3,3,3,4,4,4,5,1,6,1,7,1,3,9,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,1,1,1,1,0,4,0,19414,1704,3,0,2,306000
"29",20,47,16321,5,6,4,6,0,1277,0,207,1484,1600,0,0,1600,1,0,1,0,2,1,6,2,4,1,319,288,258,0,0,0,0,0,12,6,3,3,3,3,4,3,2,3,4,4,1,7,1,3,9,0,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,2,0,23401,1600,53,4,9,207500
"30",30,60,6324,4,6,2,3,0,0,0,520,520,520,0,0,520,0,0,1,0,1,1,4,0,2,1,240,49,0,87,0,0,0,0,5,6,3,3,2,3,0,2,1,3,1,1,1,7,1,3,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,8840,520,83,2,58,68500
"31",70,50,8500,4,4,2,3,0,0,0,649,649,649,668,0,1317,0,0,1,0,3,1,6,0,2,1,250,0,54,172,0,0,0,0,7,6,3,2,3,2,0,3,2,3,1,1,1,7,1,2,10,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,0,0,1,1,1,0,1,0,12958,1317,90,2,58,40000
"32",20,72,8544,5,6,4,6,0,0,0,1228,1228,1228,0,0,1228,0,0,1,1,3,1,6,0,4,1,271,0,65,0,0,0,0,0,6,6,3,3,3,3,0,4,3,3,1,1,1,7,1,2,9,0,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,0,1,0,13864,1228,44,2,2,149350
"33",20,85,11049,8,5,6,6,0,0,0,1234,1234,1234,0,0,1234,0,0,2,0,3,1,7,0,6,2,484,0,30,0,0,0,0,0,1,6,4,3,3,3,0,4,4,5,3,1,1,7,1,3,9,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,2,0,16584,1234,3,2,1,179900
"34",20,70,10552,5,5,4,4,0,1018,0,380,1398,1700,0,0,1700,0,1,1,1,4,1,6,1,4,2,447,0,38,0,0,0,0,0,4,6,3,3,3,3,4,4,3,3,1,3,1,7,1,3,9,0,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,2,0,17303,1700,51,0,51,165500
"35",120,60,7313,9,5,6,6,246,1153,0,408,1561,1561,0,0,1561,1,0,2,0,2,1,6,1,6,2,556,203,47,0,0,0,0,0,8,6,5,3,3,3,4,5,4,5,1,6,1,7,2,3,13,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,4,0,14669,1561,5,3,2,277500
"36",60,108,13418,8,5,6,6,132,0,0,1117,1117,1132,1320,0,2452,0,0,3,1,4,1,9,1,6,3,691,113,32,0,0,0,0,0,9,6,4,3,3,3,4,4,4,5,3,1,1,7,2,3,14,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,4,0,21632,2452,6,4,1,309000
"37",20,112,10859,5,5,6,6,0,0,0,1097,1097,1097,0,0,1097,0,0,1,1,3,1,6,0,6,2,672,392,64,0,0,0,0,0,6,6,3,3,3,3,0,3,4,4,1,1,1,7,1,3,9,1,1,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,1,0,2,0,16487,1097,16,1,14,145000
"38",20,74,8532,5,6,4,5,650,1213,0,84,1297,1297,0,0,1297,0,1,1,0,3,1,5,1,4,2,498,0,0,0,0,0,0,0,10,6,3,3,3,3,3,3,3,3,1,3,1,7,2,3,9,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,0,0,2,0,14942,1297,56,1,19,153000
"39",20,68,7922,5,7,4,6,0,731,0,326,1057,1057,0,0,1057,1,0,1,0,3,1,5,0,4,1,246,0,52,0,0,0,0,0,1,6,3,4,3,3,0,4,2,3,1,6,1,7,1,3,9,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,0,1,1,1,0,0,2,0,12516,1057,57,0,3,109000
"40",90,65,6040,4,5,4,4,0,0,0,0,0,1152,0,0,1152,0,0,2,0,2,2,6,0,4,0,0,0,0,0,0,0,0,0,6,6,3,3,0,0,0,2,2,0,0,1,1,7,0,3,2,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,1,0,8409,1152,55,2,53,82000
"41",20,84,8658,6,5,4,4,101,643,0,445,1088,1324,0,0,1324,0,0,2,0,3,1,6,1,4,2,440,0,138,0,0,0,0,0,12,6,3,3,3,3,3,3,4,3,1,3,1,7,1,0,9,1,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,1,1,1,0,0,2,0,14245,1324,45,4,41,160000
"42",20,115,16905,5,6,4,4,0,967,0,383,1350,1328,0,0,1328,0,1,1,1,2,1,5,2,4,1,308,0,104,0,0,0,0,0,7,6,3,4,3,3,4,3,3,3,4,4,1,7,1,3,9,1,1,1,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,3,0,22788,1328,51,3,48,170000
"43",85,67,9180,5,7,5,5,0,747,93,0,840,884,0,0,884,1,0,1,0,2,1,5,0,5,2,504,240,0,0,0,0,0,0,12,6,3,3,3,4,0,4,3,4,3,5,2,7,1,2,5,0,1,1,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,2,0,13439,884,27,3,24,144000
"44",20,70,9200,5,6,5,5,0,280,491,167,938,938,0,0,938,1,0,1,0,3,1,5,0,5,1,308,145,0,0,0,0,0,0,7,6,3,3,3,3,0,3,2,4,3,2,4,7,1,2,9,0,1,1,1,1,1,1,0,0,0,1,0,0,1,1,0,1,1,1,1,1,0,2,0,13475,938,35,2,28,130250
"45",20,70,7945,5,6,4,4,0,179,506,465,1150,1150,0,0,1150,1,0,1,0,3,1,6,0,4,1,300,0,0,0,0,0,0,0,5,6,3,3,3,3,0,3,4,3,1,5,4,7,1,3,9,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,0,2,0,12915,1150,51,4,47,141000
"46",120,61,7658,9,5,6,6,412,456,0,1296,1752,1752,0,0,1752,1,0,2,0,2,1,6,1,6,2,576,196,82,0,0,0,0,0,2,6,5,3,3,3,4,5,4,5,1,6,1,7,1,3,13,1,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,4,0,15993,1752,5,0,5,319900
"47",50,48,12822,7,5,6,6,0,1351,0,83,1434,1518,631,0,2149,1,0,1,1,1,1,6,1,6,2,670,168,43,0,0,198,0,0,8,6,4,3,3,3,5,4,4,5,1,6,1,7,1,3,4,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,1,1,0,0,0,2,0,21115,2149,7,1,6,239686
"48",20,84,11096,8,5,6,6,0,24,0,1632,1656,1656,0,0,1656,0,0,2,0,3,1,7,0,6,3,826,0,146,0,0,0,0,0,7,6,4,3,3,3,0,4,4,4,3,6,1,7,1,3,9,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,3,0,18776,1656,4,3,1,249700
"49",190,33,4456,4,5,2,6,0,0,0,736,736,736,716,0,1452,0,0,2,0,2,3,8,0,2,0,0,0,0,102,0,0,0,0,6,6,3,3,0,0,0,3,3,3,1,1,1,7,0,3,3,1,1,1,1,0,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,1,0,1,1,8967,1452,90,1,1,113000
"50",20,66,7742,5,7,4,4,0,763,0,192,955,955,0,0,955,1,0,1,0,3,1,6,0,4,1,386,0,0,0,0,0,0,0,1,6,3,3,3,3,0,3,4,3,1,4,1,7,1,2,9,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,1,1,0,0,1,0,12014,955,44,3,41,127000
"51",60,64,13869,6,6,6,6,0,182,0,612,794,794,676,0,1470,0,1,2,0,3,1,6,0,6,2,388,0,75,0,0,0,0,0,7,6,3,3,3,3,0,3,3,4,3,6,1,7,2,3,14,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,2,0,18924,1470,13,3,10,177000
"52",50,52,6240,6,6,3,3,0,0,0,816,816,816,0,360,1176,0,0,1,0,3,1,6,1,5,2,528,112,0,0,0,0,0,400,9,6,3,3,3,3,4,3,2,3,1,1,1,7,1,2,4,1,1,1,1,1,1,1,0,0,1,1,0,0,1,1,0,1,1,1,1,0,0,1,0,10916,816,76,4,56,114500
"53",90,110,8472,5,5,4,4,0,104,712,0,816,816,0,0,816,1,0,1,0,2,1,5,0,4,2,516,106,0,0,0,0,0,0,5,6,2,3,3,3,0,3,2,4,4,2,6,7,1,3,2,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,1,0,12468,816,47,0,47,110000
"54",20,68,50271,9,5,5,5,0,1810,0,32,1842,1842,0,0,1842,2,0,0,1,0,1,5,1,5,3,894,857,72,0,0,0,0,0,11,6,4,3,3,3,4,4,3,5,4,6,1,7,2,3,9,0,0,1,1,0,1,1,0,0,0,1,0,0,1,1,0,0,1,1,1,0,0,3,0,59530,1842,29,4,19,385000
"55",80,60,7134,5,5,4,4,0,384,0,0,384,1360,0,0,1360,0,0,1,0,3,1,6,1,4,2,572,0,50,0,0,0,0,0,2,6,3,3,3,3,3,3,2,3,1,5,1,3,1,2,8,1,0,0,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,0,0,2,0,11304,1360,55,3,52,130000
"56",20,100,10175,6,5,4,4,272,490,0,935,1425,1425,0,0,1425,0,0,2,0,3,1,7,1,4,2,576,0,0,0,407,0,0,0,7,6,3,3,3,3,4,3,3,3,1,4,1,7,1,3,9,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,1,1,0,2,0,17230,1425,46,2,44,180500
"57",160,24,2645,8,5,6,6,456,649,0,321,970,983,756,0,1739,1,0,2,1,3,1,7,0,6,2,480,115,0,0,0,0,0,0,8,6,4,3,3,3,0,4,4,4,1,6,1,7,2,3,11,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,0,0,3,0,9138,1739,11,1,9,172500
"58",60,89,11645,7,5,6,6,0,0,0,860,860,860,860,0,1720,0,0,2,1,3,1,7,0,6,2,565,0,70,0,0,0,0,0,8,6,4,3,3,3,0,4,4,4,1,1,1,7,1,3,14,0,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,1,1,1,0,0,2,0,17529,1720,6,4,2,196500
"59",60,66,13682,10,5,6,6,1031,0,0,1410,1410,1426,1519,0,2945,0,0,3,1,3,1,10,1,6,3,641,192,0,37,0,0,0,0,10,6,5,3,3,3,4,4,4,5,4,1,1,7,2,3,14,0,0,1,1,0,1,1,1,1,0,0,1,1,0,0,0,1,0,1,1,0,1,4,1,24359,2945,4,4,0,438780
"60",20,60,7200,5,7,5,5,0,632,0,148,780,780,0,0,780,0,0,1,0,2,1,4,0,5,1,352,196,0,0,0,0,0,0,1,6,3,3,3,3,0,3,4,3,3,5,1,7,1,2,9,1,0,1,1,1,1,1,0,0,0,0,0,0,1,1,0,1,1,1,1,0,0,2,0,10928,780,38,2,36,124900
"61",20,63,13072,6,5,6,6,0,941,0,217,1158,1158,0,0,1158,1,0,1,1,3,1,5,0,6,2,576,0,50,0,0,0,0,0,5,6,3,3,3,3,0,4,4,4,1,5,1,7,1,3,9,1,1,1,1,1,1,0,0,0,0,0,0,0,1,1,1,0,1,1,1,1,0,2,1,18393,1158,6,4,2,158000
"62",75,60,7200,5,7,2,6,0,0,0,530,530,581,530,0,1111,0,0,1,0,3,1,6,0,3,1,288,0,0,144,0,0,0,0,3,6,3,3,3,3,0,2,2,3,1,1,1,7,1,3,12,1,1,1,1,1,0,0,1,0,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,10974,1111,90,3,11,101000
"63",120,44,6442,8,5,6,6,178,24,0,1346,1370,1370,0,0,1370,0,0,2,0,2,1,6,1,6,2,484,120,49,0,0,0,0,0,10,6,4,3,3,3,4,4,4,4,2,6,1,7,1,3,13,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,0,0,4,0,12797,1370,4,3,1,202500
"64",70,50,10300,7,6,2,3,0,0,0,576,576,902,808,0,1710,0,0,2,0,3,1,9,0,5,2,480,12,11,64,0,0,0,0,4,6,3,3,3,3,0,3,3,3,1,1,1,7,1,4,10,0,0,1,1,1,1,1,1,0,0,1,0,0,0,1,0,0,0,1,1,0,0,1,0,15489,1710,89,0,60,140000
"65",60,70,9375,7,5,6,6,573,739,0,318,1057,1057,977,0,2034,1,0,2,1,3,1,8,0,6,2,645,576,36,0,0,0,0,0,2,6,3,3,3,3,0,4,4,4,1,6,1,7,1,4,14,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,2,0,17457,2034,13,1,11,219500
"66",60,76,9591,8,5,6,6,344,0,0,1143,1143,1143,1330,0,2473,0,0,2,1,4,1,9,1,6,3,852,192,151,0,0,0,0,0,10,6,4,3,3,3,4,4,4,5,3,1,1,7,1,3,14,1,1,1,1,0,1,1,1,1,0,1,0,0,0,0,0,0,1,1,1,0,0,4,0,18438,2473,6,3,2,317000
"67",20,73,19900,7,5,4,5,287,912,0,1035,1947,2207,0,0,2207,1,0,2,0,3,1,7,1,4,2,576,301,0,0,0,0,0,0,7,6,3,3,3,3,4,3,2,4,4,6,1,3,1,3,9,1,1,1,1,0,1,1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,0,2,0,29445,2207,40,0,21,180000
"68",20,72,10665,7,5,6,6,167,1013,0,440,1453,1479,0,0,1479,1,0,2,0,3,1,7,0,6,2,558,144,29,0,0,0,0,0,6,6,4,3,3,3,0,4,4,4,3,6,1,7,1,3,9,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,1,1,0,2,0,17499,1479,7,3,4,226000
"69",30,47,4608,4,6,3,3,0,0,0,747,747,747,0,0,747,0,0,1,0,2,1,4,0,3,1,220,0,0,0,0,0,0,0,6,6,3,4,3,3,0,3,2,3,1,1,1,7,1,3,0,1,1,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,1,0,7863,747,65,0,60,80000
"70",50,81,15593,7,4,4,4,0,603,0,701,1304,1304,983,0,2287,0,0,2,0,3,1,7,1,4,2,667,0,21,114,0,0,0,0,7,6,4,3,3,3,3,3,2,3,1,4,1,7,2,3,4,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,1,1,1,0,3,0,23658,2287,57,4,53,225000
"71",20,95,13651,7,6,5,5,1115,1880,0,343,2223,2223,0,0,2223,1,0,2,0,3,1,8,2,5,2,516,300,0,0,0,0,0,0,2,6,3,4,3,3,4,3,4,4,4,5,1,7,2,3,9,0,1,1,1,0,1,1,0,1,0,0,0,0,1,0,0,1,1,1,1,0,0,2,0,24569,2223,37,3,34,244000
"72",20,69,7599,4,6,5,6,0,565,0,280,845,845,0,0,845,1,0,1,0,2,1,4,0,5,2,360,0,0,0,0,0,0,0,6,6,3,3,3,3,0,3,2,3,1,5,1,7,1,3,9,1,1,1,1,1,1,0,0,0,0,1,0,0,1,1,1,1,1,1,1,1,0,2,0,11408,845,28,3,1,129500
"73",60,74,10141,7,5,6,6,40,0,0,832,832,885,833,0,1718,0,0,2,1,3,1,7,1,6,2,427,0,94,0,0,291,0,0,12,6,3,3,3,3,3,3,3,4,1,1,1,7,2,3,14,0,1,1,1,0,1,0,1,1,0,0,0,0,0,0,1,0,1,1,0,0,0,2,0,16167,1718,12,1,11,185000
"74",20,85,10200,5,7,4,6,104,320,362,404,1086,1086,0,0,1086,1,0,1,0,3,1,6,0,5,2,490,0,0,0,0,0,0,0,5,6,3,3,3,3,0,3,3,3,1,5,4,7,1,0,9,1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,1,1,1,1,1,0,2,0,15223,1086,56,0,7,144900
